order_date,daily_orders,dayofweek,is_weekend,month,year,lag_15,lag_30,lag_90,lag_180,lag_360,rolling_mean_15,rolling_std_15,rolling_mean_30,rolling_std_30,rolling_mean_90,rolling_std_90,rolling_mean_180,rolling_std_180,rolling_mean_360,rolling_std_360,ewma_15,ewma_30,ewma_90,ewma_180,ewma_360,momentum_15,momentum_30,momentum_90,momentum_180,momentum_360,is_high_short,is_high_long,is_peak_long,volatility_30,trend_15_30,trend_30_90,trend_90_180,trend_180_360
2017-07-28,128,4,0,7,2017,128.0,115.0,69.0,30.0,,128.93333333333334,27.883601598345212,122.1,26.84996628778459,111.9888888888889,26.747884278168687,91.41666666666667,31.049586400505547,81.07476635514018,37.81476993269328,125.76509504069375,122.07847012628349,108.90127790104727,90.6363425255071,65.6376727173312,0.0,13.0,59.0,98.0,,1,1,0,26.84996628778459,1.055965055965056,1.0902867347951184,1.2250379823761774,1.1275600384245918
2017-07-29,107,5,1,7,2017,146.0,109.0,66.0,48.0,,126.33333333333333,27.996598432836883,122.03333333333333,26.886072966132975,112.44444444444444,26.30124152711554,91.74444444444444,30.899751806459673,81.19534883720931,37.767723162047155,123.41945816060704,121.10566560200715,108.85949157355172,90.81715642025289,65.86682688510223,-39.0,-2.0,41.0,59.0,,0,1,0,26.886072966132975,1.0352362742420103,1.0852766798418971,1.2256267409470754,1.129922412531108
2017-07-30,113,6,1,7,2017,97.0,92.0,108.0,63.0,,127.4,27.089270411522204,122.73333333333333,26.345101400755482,112.5,26.297028498770924,92.02222222222223,30.864627030600122,81.3425925925926,37.74188026940968,122.11702589053115,120.58271943413574,108.95049175874838,91.06227071395176,66.12795249792714,16.0,21.0,5.0,50.0,,0,1,0,26.345101400755482,1.038022813688213,1.090962962962963,1.2225307896643323,1.1312919749573136
2017-07-31,142,0,0,7,2017,106.0,76.0,117.0,60.0,,129.8,26.649041794620505,124.93333333333334,25.030923403597754,112.77777777777777,26.476522471753253,92.47777777777777,30.994224647740232,81.6221198156682,37.87888922855686,124.60239765421476,121.96447947064311,109.67685457723744,91.62511855136665,66.54829625140123,36.0,66.0,25.0,82.0,,1,1,1,25.030923403597754,1.0389541088580576,1.107783251231527,1.2195121951219512,1.1329989711934156
2017-08-01,161,1,0,8,2017,157.0,101.0,97.0,65.0,,130.06666666666666,26.95887520615343,126.93333333333334,25.44626973994728,113.4888888888889,26.904009326728346,93.0111111111111,31.342759784953632,81.9862385321101,38.17199486846044,129.1520979474379,124.48290014995646,110.80483579532012,92.39169182704215,67.07157438851257,4.0,60.0,64.0,96.0,,1,1,1,25.44626973994728,1.0246848739495797,1.1184648521636968,1.2201648548560509,1.1344722331014503
2017-08-02,147,2,0,8,2017,187.0,111.0,105.0,51.0,,127.4,22.541390500904924,128.13333333333333,25.51771978426954,113.95555555555555,27.118512732706403,93.54444444444445,31.44052152150761,82.28310502283105,38.336896705787275,131.38308570400818,125.93561626931412,111.60033390970868,92.99509854718534,67.51439115090308,-40.0,36.0,42.0,96.0,,1,1,1,25.51771978426954,0.994276795005203,1.1244149765990639,1.2181969355030287,1.136860895301517
2017-08-03,142,3,0,8,2017,148.0,119.0,100.0,62.0,,127.0,22.200386097028666,128.9,25.579288496750557,114.42222222222222,27.2367802291944,93.9888888888889,31.55734142226207,82.55454545454545,38.46057967959091,132.71019999100716,126.97202812290676,112.26845843916563,93.53658917097334,67.92705380380666,-6.0,23.0,42.0,80.0,,1,1,1,25.579288496750557,0.9852598913886733,1.1265294231889689,1.217401584111597,1.1385065276707167
2017-08-04,139,4,0,8,2017,137.0,136.0,102.0,70.0,,127.13333333333334,22.27062981554301,129.0,25.613843239881763,114.83333333333333,27.326264272694235,94.37222222222222,31.683143317119523,82.80995475113122,38.56046126772553,133.49642499213127,127.7480263085257,112.85596484709605,94.03894730168082,68.32080973841161,2.0,3.0,37.0,69.0,,1,1,0,25.613843239881763,0.985529715762274,1.123367198838897,1.2168128568905634,1.1396241249719203
2017-08-05,109,5,1,8,2017,112.0,139.0,101.0,74.0,,126.93333333333334,22.42914770263613,128.0,25.794947380152244,114.92222222222222,27.293752743557796,94.56666666666666,31.664812255807416,82.92792792792793,38.513254863903356,130.43437186811485,126.53847622410468,112.77121836694009,94.20426280110976,68.54617921354507,-3.0,-30.0,8.0,35.0,,0,1,0,25.794947380152244,0.9916666666666667,1.113796770762835,1.2152508518387968,1.140347637153721
2017-08-06,102,6,1,8,2017,86.0,112.0,118.0,101.0,,128.0,20.653605703882064,127.66666666666667,26.071960540718397,114.74444444444444,27.3255698301394,94.57222222222222,31.666034983408547,83.01345291479821,38.447633723346016,126.8800753846005,124.95534872577535,112.5344882929414,94.29040354363893,68.73151894089386,16.0,-10.0,-16.0,1.0,,0,1,0,26.071960540718397,1.0026109660574412,1.1126174106710565,1.2132996534100922,1.1392397123787572
2017-08-07,156,0,0,8,2017,96.0,82.0,119.0,79.0,,132.0,19.80620393426555,130.13333333333333,25.08431758102545,115.15555555555555,27.66651775601823,95.0,31.97310322144129,83.33928571428571,38.67005505855793,130.52006596152543,126.9582294531447,113.48977426452511,94.97227753763187,69.215000830418,60.0,74.0,37.0,77.0,,1,1,1,25.08431758102545,1.014344262295082,1.1300656117329215,1.2121637426900584,1.1399185772444826
2017-08-08,144,1,0,8,2017,156.0,85.0,108.0,70.0,,131.2,18.993231877246664,132.1,23.698319451547217,115.55555555555556,27.821708083781058,95.41111111111111,32.12524180095317,83.60888888888888,38.794995893145874,132.20505771633475,128.05769852068374,114.16032867629379,95.51402032727131,69.62932215545725,-12.0,59.0,36.0,74.0,,1,1,1,23.698319451547217,0.9931869795609386,1.1431730769230768,1.211133108186794,1.1411598979374868
2017-08-09,139,2,0,8,2017,144.0,139.0,122.0,62.0,,130.86666666666667,18.795389505585362,132.1,23.698319451547217,115.74444444444444,27.923475328242965,95.83888888888889,32.19045347378507,83.85398230088495,38.883654458792776,133.0544255017929,128.7636534548332,114.70625551857303,95.9945283899534,70.01364724046857,-5.0,0.0,17.0,77.0,,1,1,0,23.698319451547217,0.9906636386575828,1.1413074781606989,1.2076981044577126,1.1429259083367047
2017-08-10,153,3,0,8,2017,117.0,157.0,103.0,44.0,,133.26666666666668,19.192508459093695,131.96666666666667,23.564267708623436,116.3,28.163427555704143,96.44444444444444,32.23503458966497,84.15859030837004,39.06803067743273,135.5476223140688,130.3272887158117,115.54787627640658,96.62442310387658,70.473405427502,36.0,-4.0,50.0,109.0,,1,1,1,23.564267708623436,1.009850972467795,1.1347090856979078,1.2058755760368665,1.1459845523915877
2017-08-11,130,4,0,8,2017,117.0,143.0,65.0,59.0,,134.13333333333333,18.692499132259602,131.53333333333333,23.4737319562531,117.02222222222223,27.66207714290771,96.83888888888889,32.20867086989873,84.35964912280701,39.099923317067656,134.8541695248102,130.3061733147916,115.8655053692328,96.99321400880612,70.80319265505047,13.0,-13.0,65.0,71.0,,0,1,0,23.4737319562531,1.0197668525088697,1.1240030383592858,1.2084217772933281,1.1479290145922152
2017-08-12,91,5,1,8,2017,128.0,128.0,105.0,72.0,,131.66666666666666,21.75075258687018,130.3,24.61027259583637,116.86666666666666,27.76959779683089,96.94444444444444,32.15790687451486,84.38864628820961,39.016551283226185,129.37239833420892,127.77029116545022,115.31901074573318,96.9269906495928,70.91508632455157,-37.0,-37.0,-14.0,19.0,,0,0,0,24.61027259583637,1.0104886160143258,1.1149458071876783,1.2055014326647564,1.1487853960040246
2017-08-13,88,6,1,8,2017,107.0,146.0,146.0,65.0,,130.4,23.75109020054211,128.36666666666667,25.592945328248334,116.22222222222223,27.758904949493385,97.07222222222222,32.07585815840921,84.40434782608696,38.93199735044532,124.20084854243281,125.20446592896955,114.71859292714564,96.82834986893431,71.00973958591139,-19.0,-58.0,-58.0,23.0,,0,0,0,25.592945328248334,1.0158400415476498,1.1044933078393881,1.1972757969438563,1.150085566945403
2017-08-14,151,0,0,8,2017,113.0,97.0,144.0,56.0,,132.93333333333334,23.78915319055749,130.16666666666666,25.206845448632787,116.3,27.84727610587535,97.6,32.17768406761599,84.6926406926407,39.093598802671636,127.5507424746287,126.86869393355218,115.51598648918639,97.42693163833836,71.45289892338558,38.0,54.0,7.0,95.0,,1,1,1,25.206845448632787,1.0212548015364917,1.119231871596446,1.1915983606557377,1.1524023717031282
2017-08-15,183,1,0,8,2017,142.0,106.0,139.0,48.0,,135.66666666666666,27.03877286592793,132.73333333333332,26.545904721279683,116.78888888888889,28.625632594725168,98.35,32.58585136983853,85.11637931034483,39.539221459041165,134.48189966530012,130.4900685184843,116.99915162129219,98.37249040476556,72.07088840303442,41.0,77.0,44.0,135.0,,1,1,1,26.545904721279683,1.022099447513812,1.1365236418989628,1.1874823476246965,1.155476781283233
